tcl 8.6.14-1
tdb 1.4.9-1
tesseract 5.3.4-1
tesseract-data-osd 2:4.1.0-4
tesseract-data-spa 2:4.1.0-4
texinfo 7.1-2
texlive-basic 2023.66594-20
texlive-bibtexextra 2023.66594-20
texlive-bin 2023.66984-19
texlive-binextra 2023.66594-20
texlive-fontsextra 2023.66594-20
texlive-fontsrecommended 2023.66594-20
texlive-formatsextra 2023.66594-20
texlive-langspanish 2023.66594-20
texlive-latex 2023.66594-20
texlive-latexextra 2023.66594-20
texlive-latexrecommended 2023.66594-20
texlive-mathscience 2023.66594-20
texlive-pictures 2023.66594-20
texlive-plaingeneric 2023.66594-20
thin-provisioning-tools 1.0.12-1
thunar 4.18.10-1
ticktick 2.0.10-1
ticktick-debug 2.0.10-1
tk 8.6.14-1
tomlplusplus 3.4.0-1
tpm2-tss 4.0.1-1
tracker3 3.6.0-3
tree 2.1.1-1
tree-sitter 0.20.10-2
tslib 1.23-1
ttf-jetbrains-mono-nerd 3.1.1-1
tzdata 2024a-1
udisks2 2.10.1-4
unibilium 2.1.1-1
unixodbc 2.3.12-1
unzip 6.0-20
upower 1.90.2-1
usbmuxd 1.1.1-3
util-linux 2.39.3-2
util-linux-libs 2.39.3-2
v4l-utils 1.26.1-1
valgrind 3.22.0-3
vapoursynth R65-1
vid.stab 1.1.1-1
vim 9.1.0151-2
vim-runtime 9.1.0151-2
visual-studio-code-bin 1.86.2-1
visual-studio-code-bin-debug 1.86.2-1
vmaf 3.0.0-1
volume_key 0.3.12-8
vulkan-headers 1:1.3.279-1
vulkan-icd-loader 1.3.279-1
vulkan-validation-layers 1.3.275-1
waybar 0.9.24-3
wayland 1.22.0-1
wayland-protocols 1.33-1
webkit2gtk 2.42.5-2
webrtc-audio-processing-1 1.3-2
wget 1.21.4-1
which 2.21-6
wireplumber 0.4.17-1
wlogout 1.2-1
wlogout-debug 1.2-1
wlroots 0.17.1-1
woff2 1.0.2-4
wofi 1.4.1-1
wpa_supplicant 2:2.10-8
wpebackend-fdo 1.14.2-1
wxwidgets-common 3.2.4-3
wxwidgets-gtk3 3.2.4-3
x264 3:0.164.r3108.31e19f9-1
x265 3.5-3
xcb-proto 1.16.0-1
xcb-util 0.4.1-1
xcb-util-cursor 0.1.5-1
xcb-util-errors 1.0.1-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xcb-util-xrm 1.3-2
xclip 0.13-4
xdg-dbus-proxy 0.1.5-1
xdg-desktop-portal 1.18.2-1
xdg-desktop-portal-hyprland 1.3.1-5
xdg-utils 1.2.1-1
xf86-input-libinput 1.4.0-1
xfce4-settings 4.18.4-1
xfconf 4.18.3-1
xkeyboard-config 2.41-1
xmlsec 1.3.3-2
xorg-fonts-encodings 1.1.0-1
xorg-server 21.1.11-1
xorg-server-common 21.1.11-1
xorg-setxkbmap 1.3.4-1
xorg-xauth 1.1.3-1
xorg-xinput 1.6.4-1
xorg-xkbcomp 1.4.7-1
xorg-xprop 1.2.7-1
xorg-xrandr 1.5.2-1
xorg-xset 1.2.5-1
xorg-xwayland 23.2.4-2
xorgproto 2023.2-1
xvidcore 1.3.7-2
xxhash 0.8.2-1
xz 5.6.0-1
yadm 3.2.2-1
yaml-cpp 0.8.0-1
yarn 1.22.21-1
yay-git 12.3.0.r1.gf7f2169-1
yay-git-debug 12.3.0.r1.gf7f2169-1
zathura 0.5.5-1
zathura-pdf-mupdf 0.4.1-17
zeromq 4.3.5-2
zimg 3.0.5-1
zip 3.0-11
zix 0.4.2-2
zlib 1:1.3.1-1
zram-generator 1.1.2-1
zsh 5.9-4
zstd 1.5.5-1
zxing-cpp 2.2.1-1
zziplib 0.13.73-1
